"article_year","issue_total_citations","issue_total_articles","issue_total_debuts","issue_total_debuts_available","issue_total_debuts_unavailable"
1991,1572,18,18,10,5
1992,1321,19,4,1,1
1993,2716,24,6,3,3
1994,4078,40,19,6,10
1996,3742,56,23,8,12
1997,4775,65,17,7,9
1998,9125,94,36,13,22
1999,12064,105,43,23,20
2000,37950,115,42,11,31
2001,14325,98,56,23,33
2002,20314,112,58,26,32
2003,20915,133,80,35,45
2004,26319,145,102,53,49
2005,18678,140,99,54,45
2006,25093,162,107,65,42
2007,19741,176,120,75,45
2008,25509,187,122,82,40
2009,30191,181,113,81,32
2010,17323,135,71,55,16
2011,23192,183,111,83,28
2012,22671,198,123,102,21
2013,17916,179,104,91,13
2014,17227,185,88,82,6
2015,7193,173,81,73,8
2016,1285,177,84,79,5
